sample_id,arm,language,repo_name,repo_url,pr_identifier,path,line_count,source_license,attribution_strength,content_sha256
agent_attributed_0001,agent_attributed,python,crewAIInc/crewAI,https://api.github.com/repos/crewAIInc/crewAI,2073,src/crewai/crew.py,244,unknown,dataset_labeled,df45b73aacaced1f921d67f0e774bf09eab15476d93241d914ba98d72af62513
agent_attributed_0002,agent_attributed,python,Kiln-AI/Kiln,https://api.github.com/repos/Kiln-AI/Kiln,352,libs/server/kiln_server/test_run_api.py,116,unknown,dataset_labeled,f65053ade17554ad54560a4a6bce1a61b63cd9cccb368fd63c6c532dec598e0d
agent_attributed_0003,agent_attributed,python,Significant-Gravitas/AutoGPT,https://api.github.com/repos/Significant-Gravitas/AutoGPT,9965,autogpt_platform/backend/backend/blocks/google/gmail.py,294,unknown,dataset_labeled,200cf69321d7f6e31dbe0af7114d0c510951f4c75c6176c2311122b8254c908c
agent_attributed_0004,agent_attributed,python,Significant-Gravitas/AutoGPT,https://api.github.com/repos/Significant-Gravitas/AutoGPT,9965,autogpt_platform/backend/backend/blocks/google/gmail.py,116,unknown,dataset_labeled,b1a4d3d09e7b0f99486728faf1a7b720d55ae30f8175dd61ae144d35e7e88cf6
agent_attributed_0005,agent_attributed,python,Significant-Gravitas/AutoGPT,https://api.github.com/repos/Significant-Gravitas/AutoGPT,9965,autogpt_platform/backend/backend/blocks/google/gmail.py,159,unknown,dataset_labeled,0e08e014031bd02087f58f72521a00855870b498b23386487ec6ffd1b280e594
agent_attributed_0006,agent_attributed,python,stanford-crfm/haliax,https://api.github.com/repos/stanford-crfm/haliax,146,src/haliax/typing.py,131,unknown,dataset_labeled,c7197455ca65e2bfb6f2d3bba5007710d4bfa43340270052c9823d580411a72b
agent_attributed_0007,agent_attributed,python,MontrealAI/AGI-Alpha-Agent-v0,https://api.github.com/repos/MontrealAI/AGI-Alpha-Agent-v0,934,tests/test_orchestrator_bus_tls_env.py,102,unknown,dataset_labeled,b5e397ab875c5f1fb32b9c74870ef93a3229abb53206491533c22fe2ac66f6ed
agent_attributed_0008,agent_attributed,python,julep-ai/julep,https://api.github.com/repos/julep-ai/julep,1428,agents-api/agents_api/routers/tasks/stream_execution_status.py,151,unknown,dataset_labeled,80dbc3da96c900219e1fe61d99a8dbcabee5419e20ec4eec86edb5c84e40664c
agent_attributed_0009,agent_attributed,python,marin-community/marin,https://api.github.com/repos/marin-community/marin,1392,experiments/speedrun/cautious_llama_scaling/cautious_sweep.py,163,unknown,dataset_labeled,29d7d6f0d733bda4e932ecfb486664cd2ad929c89e4993f6797229797526c254
agent_attributed_0010,agent_attributed,python,microsoft/magentic-ui,https://api.github.com/repos/microsoft/magentic-ui,55,experiments/eval/run.py,267,unknown,dataset_labeled,676049d86c46e0f3c6336ebf2dc0908c498f71e5054ce9c6ca16ad218b8df24b
agent_attributed_0011,agent_attributed,python,crewAIInc/crewAI,https://api.github.com/repos/crewAIInc/crewAI,2080,tests/crew_test.py,103,unknown,dataset_labeled,4b7fa3dfb50f9a672be8dd31345f8b631e8b1eaa1123031748475da9258bfe4d
agent_attributed_0012,agent_attributed,python,browser-use/browser-use,https://api.github.com/repos/browser-use/browser-use,2380,examples/integrations/gmail_2fa_integration.py,328,unknown,dataset_labeled,bc50fd8b8d57432bb9084adf6fd1e6e2a64962ff5c89597bc4915c2ed671e414
agent_attributed_0013,agent_attributed,python,Significant-Gravitas/AutoGPT,https://api.github.com/repos/Significant-Gravitas/AutoGPT,9965,autogpt_platform/backend/backend/blocks/ai_shortform_video_block.py,541,unknown,dataset_labeled,907a62480a8c1698128d600e2dead85b7c82e092cddfbbb25643a1362dedf19b
agent_attributed_0014,agent_attributed,python,DannyMac180/meta-agent,https://api.github.com/repos/DannyMac180/meta-agent,37,src/meta_agent/agents/tool_designer_agent.py,380,unknown,dataset_labeled,32a0e7c948307934e7270bee1fbdf03b181ae98abd5f7ad10530e313c9457cfc
agent_attributed_0015,agent_attributed,python,DannyMac180/meta-agent,https://api.github.com/repos/DannyMac180/meta-agent,37,src/meta_agent/agents/tool_designer_agent.py,232,unknown,dataset_labeled,4ef43fa1d310889ad3b6aa315372aeea7e61f847e758261579b57d4ec2834f3e
agent_attributed_0016,agent_attributed,python,numbagg/numbagg,https://api.github.com/repos/numbagg/numbagg,394,numbagg/test/test_matrix_functions.py,545,unknown,dataset_labeled,0569388e3902c24ddf03139048de76ace321ed21db4a05d83b8e379c23d6013c
agent_attributed_0017,agent_attributed,python,crewAIInc/crewAI,https://api.github.com/repos/crewAIInc/crewAI,2192,src/crewai/flow/utils.py,105,unknown,dataset_labeled,7b86e60ad07f2ec301c90abcdd73029610b7cbf023e064caf5ed9a5871bd19b8
agent_attributed_0018,agent_attributed,python,skypilot-org/skypilot,https://api.github.com/repos/skypilot-org/skypilot,5796,tests/unit_tests/test_sky/utils/test_common_utils.py,158,unknown,dataset_labeled,a78a57260b83d895f2eec3f62acbb380d7e11128a95b0f089bfe8cb5928e0f8d
agent_attributed_0019,agent_attributed,python,static-frame/static-frame,https://api.github.com/repos/static-frame/static-frame,1068,static_frame/core/display.py,767,unknown,dataset_labeled,f1ee130411f53ad6761d0479e30c4b19380111872fb8ee646f292b05a92d5f72
agent_attributed_0020,agent_attributed,python,OWASP/mastg,https://api.github.com/repos/OWASP/mastg,3373,demos/ios/MASVS-CRYPTO/MASTG-DEMO-0015/cchash.py,147,unknown,dataset_labeled,3247e9421c8104ce3489ef27e03d81f33df11573a342b8c0c45ecc40cac1f819
agent_attributed_0021,agent_attributed,python,stanford-crfm/levanter,https://api.github.com/repos/stanford-crfm/levanter,1039,tests/test_hf_llama_serialize.py,111,unknown,dataset_labeled,630e1381b962ca27b41365e6ad25ca4c3d93ad1210eb39945629205cd2c7cb8b
agent_attributed_0022,agent_attributed,python,goat-sdk/goat,https://api.github.com/repos/goat-sdk/goat,223,python/src/plugins/superfluid/goat_plugins/superfluid/service.py,181,unknown,dataset_labeled,1cd3b939b125fb261f450aa57e478722be26c4c2e6e1738f03bf783ef0597bf4
agent_attributed_0023,agent_attributed,python,NewFuture/DDNS,https://api.github.com/repos/NewFuture/DDNS,499,tests/test_ssl_config.py,129,unknown,dataset_labeled,8b493e90a57af4f4c61d12a1d3c6e5191a2625e23bb2a692f7e27d636063eb32
agent_attributed_0024,agent_attributed,python,digitaldemocracy2030/kouchou-ai,https://api.github.com/repos/digitaldemocracy2030/kouchou-ai,247,server/tests/services/test_report_sync.py,283,unknown,dataset_labeled,deff358abd4cb4bceb7d9746e2f55b1b909a757e87857120b326396d30b4c237
agent_attributed_0025,agent_attributed,python,crewAIInc/crewAI-tools,https://api.github.com/repos/crewAIInc/crewAI-tools,164,crewai_tools/tools/scrapegraph_scrape_tool/scrapegraph_scrape_tool.py,147,unknown,dataset_labeled,dc6dc4bbb47409cacc91247b7f67e886665e920362a87e99529bca85bf165d84
agent_attributed_0026,agent_attributed,python,DannyMac180/meta-agent,https://api.github.com/repos/DannyMac180/meta-agent,126,src/meta_agent/template_registry.py,149,unknown,dataset_labeled,b6526edd20a21b581dcae74b5a5972e83f3cbd7d5c2da756d56e3102688a6897
agent_attributed_0027,agent_attributed,python,getsentry/sentry,https://api.github.com/repos/getsentry/sentry,94169,src/sentry/spans/buffer.py,126,unknown,dataset_labeled,1cf144dfed9f824b2b0e0332eff18645311ffa44791733b787e898699da2e5fd
agent_attributed_0028,agent_attributed,python,jialeicui/open-lx01,https://api.github.com/repos/jialeicui/open-lx01,43,src/server/tests/test_azure_tts.py,228,unknown,dataset_labeled,b078468cdc35d5d107e2c962b390d1bd463722adc1da1d3673daba52f6e68a36
agent_attributed_0029,agent_attributed,python,ohcnetwork/care,https://api.github.com/repos/ohcnetwork/care,3127,care/emr/api/viewsets/service_request.py,298,unknown,dataset_labeled,9fb50973eefee8e1c236d146b72a509beada9bee9ecf8b8de50c0310e0c58508
agent_attributed_0030,agent_attributed,python,mrwadams/stride-gpt,https://api.github.com/repos/mrwadams/stride-gpt,69,dread.py,107,unknown,dataset_labeled,2d622eab0a34e503e7c49c1ea43322fc4824dbeac01d09acb642ee8914c55e7f
agent_attributed_0031,agent_attributed,python,PromtEngineer/localGPT,https://api.github.com/repos/PromtEngineer/localGPT,907,rag_system/indexing/nano_graph_adapter.py,103,unknown,dataset_labeled,aacbbe2528950f5398c44186818d31539fbd6c3c78b541554035024ede641717
agent_attributed_0032,agent_attributed,python,PromtEngineer/localGPT,https://api.github.com/repos/PromtEngineer/localGPT,907,rag_system/indexing/nano_graph_adapter.py,175,unknown,dataset_labeled,4d814f7c1a7f1d5f6719c0435bd3943b988f3753e1c9358c5bb873931d92bbd0
agent_attributed_0033,agent_attributed,python,crewAIInc/crewAI,https://api.github.com/repos/crewAIInc/crewAI,2277,src/crewai/security/security_config.py,116,unknown,dataset_labeled,560cf79d75d8254fe2eb50ac10b135e9f513c2afdb8b22620f6a52c3b0bd6348
agent_attributed_0034,agent_attributed,python,crewAIInc/crewAI,https://api.github.com/repos/crewAIInc/crewAI,2277,src/crewai/security/security_config.py,116,unknown,dataset_labeled,560cf79d75d8254fe2eb50ac10b135e9f513c2afdb8b22620f6a52c3b0bd6348
agent_attributed_0035,agent_attributed,python,BeehiveInnovations/zen-mcp-server,https://api.github.com/repos/BeehiveInnovations/zen-mcp-server,95,tools/analyze.py,633,unknown,dataset_labeled,863f46fdba2c02d3ba7b5e1bdd5ab7c1b9590b353070ad2ef4ba92db651ee0ff
agent_attributed_0036,agent_attributed,python,DannyMac180/meta-agent,https://api.github.com/repos/DannyMac180/meta-agent,34,tests/integration/test_tool_lifecycle.py,275,unknown,dataset_labeled,d6bf42768c7d7c3a98c314062b7d44e2d93745c6fe3be5fbce84d71a30520d4a
