check_id,check_name,high,medium,low,total
C01,SUCCESS INTEGRITY,25,0,0,25
C02,AUDIT / EVIDENCE INTEGRITY,70,0,0,70
C03,BROAD EXCEPTION SUPPRESSION,373,594,0,967
C04,DISTRIBUTED FALLBACK / DEGRADED EXECUTION,0,0,571,571
C05,BYPASS / OVERRIDE PATHS,98,0,0,98
C06,AMBIGUOUS RETURN CONTRACTS,0,207,0,207
C08,UNSUPERVISED BACKGROUND TASKS,0,65,0,65
C09,ENVIRONMENT-DEPENDENT SAFETY,197,0,0,197
C10,STARTUP INTEGRITY,101,0,0,101
C11,DETERMINISTIC REASONING DRIFT,14,0,0,14
C13,CONFIDENCE MISREPRESENTATION,0,540,0,540
C14,TEST COVERAGE ASYMMETRY,403,37,0,440
C15,RETRY / IDEMPOTENCY ASSUMPTION DRIFT,2,0,0,2
