file,high,medium,low,total
src/App.jsx,7,75,3,85
advanced_security/__init__.py,11,20,7,38
security/secrets.py,15,19,4,38
multi_tenancy/__init__.py,3,33,0,36
rest/main.py,18,9,8,35
runtime/critic_infrastructure.py,6,16,12,34
test_api_deliberation_routes.py,0,31,2,33
ml/decision_engine/__init__.py,6,12,14,32
gpu/production_health_checker.py,13,11,5,29
startup.py,15,8,6,29
rest/routes/deliberation.py,8,17,1,26
runtime/run.py,15,3,8,26
cache/semantic_cache.py,4,13,8,25
observability/governance_metrics.py,20,4,1,25
ai/video_processor.py,7,15,2,24
gpu/predictive_enhanced_processor.py,10,6,8,24
analytics/predictive_engine_improvements.py,3,15,5,23
resilience/degradation.py,0,0,23,23
ai/structured_data_processor.py,8,13,1,22
gpu/production_parallelization.py,13,7,2,22
analytics/predictive_engine.py,2,17,2,21
core/__init__.py,9,11,1,21
predictive_governance/__init__.py,7,14,0,21
replay_store.py,4,11,6,21
runtime/initialization.py,14,7,0,21
runtime/streaming.py,12,2,7,21
security/ledger.py,7,14,0,21
model_registry/__init__.py,12,8,0,20
resource_manager.py,18,2,0,20
rest/runtime_env.py,9,8,3,20
integrations/traffic_light_governance.py,1,5,12,18
policy/optimization.py,4,12,2,18
precedent/store.py,5,13,0,18
rest/services/config_proposals.py,6,12,0,18
audit_security.py,4,10,3,17
config/settings/gpu/production_integrator.py,2,9,6,17
schemas/response.py,0,0,17,17
ai/advanced_fusion.py,1,3,12,16
rest/routes/audit.py,1,7,8,16
runtime/humility.py,6,9,1,16
test_api_deliberation_routes_branch_extra.py,0,16,0,16
test_critic_infrastructure.py,0,6,10,16
orchestrator/orchestrator_exec_engine.py,3,4,8,15
router/adapters.py,8,7,0,15
test_api_startup_initialization.py,1,10,4,15
test_engine_missing_paths.py,14,1,0,15
ai/audio_processor.py,4,8,2,14
ai/vision_processor.py,3,10,1,14
analytics/__init__.py,3,11,0,14
critics/batch_processor.py,0,6,8,14
integration/test_engine_core_integration.py,8,6,0,14
integration/test_governance_predictive_integration.py,1,13,0,14
middleware/security_audit.py,8,6,0,14
observability/health_checker.py,1,9,4,14
recorder/evidence_recorder.py,9,4,1,14
rollback_manager.py,1,13,0,14
test_response_schemas.py,0,0,14,14
analytics/trend_analysis.py,1,9,3,13
integration/test_predictive_analytics_realistic.py,8,5,0,13
security/secrets/providers/aws.py,6,6,1,13
security/secrets/providers/vault.py,5,8,0,13
cache/enhanced_redis.py,4,7,1,12
gpu/manager.py,9,3,0,12
gpu/production_async_ops.py,7,1,4,12
integration/test_engine_initialization.py,11,1,0,12
ml_governance/__init__.py,1,10,1,12
runtime/critics.py,3,4,5,12
runtime/governance.py,2,10,0,12
validators/context_validator.py,12,0,0,12
analytics/capacity_planning.py,0,10,1,11
evidence_recorder_async.py,8,1,2,11
gpu/parallelization.py,9,1,1,11
integration/test_predictive_analytics_comprehensive.py,7,3,1,11
policy_optimization/__init__.py,4,7,0,11
production_integration.py,5,4,2,11
runtime/shared_governance.py,8,2,1,11
saas/tenant/manager.py,8,3,0,11
security/secrets/providers/azure.py,4,7,0,11
test_engine_advanced_branches.py,11,0,0,11
test_production_gpu_modules.py,2,0,9,11
ai/edge_processing.py,3,6,1,10
ai/multi_modal_embeddings.py,0,3,7,10
analytics/base_predictor.py,0,8,2,10
analytics/predictors/risk_assessment.py,1,8,1,10
config/settings/gpu/realtime_monitor.py,6,2,2,10
core/feature_integration.py,7,2,1,10
gpu/production_embeddings_cache.py,4,2,4,10
gpu/production_memory_optimization.py,6,3,1,10
integration/test_api_integration_working.py,4,5,1,10
integration/test_governance_predictive_realistic.py,1,9,0,10
observability/anomaly_detector.py,3,4,3,10
router/router.py,3,4,3,10
test_engine_branches.py,4,2,4,10
analytics/predictive_storage.py,1,8,0,9
database/enhanced_pool.py,2,4,3,9
globalization/__init__.py,4,5,0,9
middleware/enhanced_auth.py,2,6,1,9
precedent/retrieval.py,0,9,0,9
runtime/errors.py,1,3,5,9
security/audit.py,6,3,0,9
test_critic_infrastructure_branches.py,3,2,4,9
test_edge_processing.py,5,4,0,9
test_gpu_production_readiness.py,6,1,2,9
websocket/websocket_server.py,1,7,1,9
