arm,check_id,fail_count
agent_attributed,background_tasks,15
agent_attributed,confidence_representation,11
agent_attributed,environment_safety,6
agent_attributed,exception_handling,61
agent_attributed,fallback_control,14
agent_attributed,idempotency_safety,1
agent_attributed,return_contracts,7
agent_attributed,startup_integrity,1
agent_attributed,success_integrity,1
human_control,background_tasks,28
human_control,confidence_representation,7
human_control,determinism,1
human_control,environment_safety,8
human_control,exception_handling,43
human_control,fallback_control,12
human_control,return_contracts,9
human_control,startup_integrity,1
