arm,repo_name,scanned_files,high_total,medium_total,low_total,high_per_file,medium_per_file,low_per_file,languages_present,python_files,javascript_files,typescript_files
agent_attributed,567-labs/instructor,2,0,0,0,0.0,0.0,0.0,python,2,0,0
agent_attributed,AgentDock/AgentDock,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,AgentOps-AI/agentops,3,0,1,0,0.0,0.333,0.0,python,3,0,0
agent_attributed,Agoric/agoric-sdk,1,1,0,0,1.0,0.0,0.0,javascript,0,1,0
agent_attributed,Alfresco/alfresco-ng2-components,2,0,0,0,0.0,0.0,0.0,javascript,0,2,0
agent_attributed,Azure-Samples/azure-ai-travel-agents,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,BeehiveInnovations/zen-mcp-server,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,BerriAI/litellm,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,CEPT-VZG/digipin,7,1,14,0,0.143,2.0,0.0,"javascript,typescript",0,6,1
agent_attributed,Cap-go/capgo,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,CarGuo/GSYGithubAPP,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,Codehagen/Badget,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,ComposioHQ/composio,1,0,2,0,0.0,2.0,0.0,typescript,0,0,1
agent_attributed,DannyMac180/meta-agent,4,1,1,0,0.25,0.25,0.0,python,4,0,0
agent_attributed,Deepractice/PromptX,3,0,3,0,0.0,1.0,0.0,javascript,0,3,0
agent_attributed,EduMIPS64/edumips64,2,0,0,0,0.0,0.0,0.0,javascript,0,2,0
agent_attributed,Emurgo/yoroi,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,Kiln-AI/Kiln,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,LayerZero-Labs/devtools,2,0,2,0,0.0,1.0,0.0,typescript,0,0,2
agent_attributed,MontrealAI/AGI-Alpha-Agent-v0,4,1,2,0,0.25,0.5,0.0,"javascript,python",3,1,0
agent_attributed,NethermindEth/starknet.go,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,NewFuture/DDNS,6,0,0,0,0.0,0.0,0.0,python,6,0,0
agent_attributed,OEvortex/Webscout,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,OHIF/Viewers,1,1,0,0,1.0,0.0,0.0,javascript,0,1,0
agent_attributed,OWASP/mastg,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,OpenFIGI/api-examples,1,0,2,0,0.0,2.0,0.0,javascript,0,1,0
agent_attributed,PromtEngineer/localGPT,2,1,6,0,0.5,3.0,0.0,python,2,0,0
agent_attributed,Rello/analytics,2,1,1,0,0.5,0.5,0.0,javascript,0,2,0
agent_attributed,Rello/audioplayer,1,0,1,0,0.0,1.0,0.0,javascript,0,1,0
agent_attributed,RyanSusana/elepy,1,0,0,0,0.0,0.0,0.0,javascript,0,1,0
agent_attributed,SNGWN/Mobile-PT,1,7,1,0,7.0,1.0,0.0,javascript,0,1,0
agent_attributed,Shelf-nu/shelf.nu,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,Significant-Gravitas/AutoGPT,9,0,0,0,0.0,0.0,0.0,python,9,0,0
agent_attributed,SoftFever/OrcaSlicer,1,0,2,0,0.0,2.0,0.0,javascript,0,1,0
agent_attributed,ag2ai/ag2,7,1,3,0,0.143,0.429,0.0,python,7,0,0
agent_attributed,antiwork/flexile,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,antiwork/shortest,1,0,9,0,0.0,9.0,0.0,typescript,0,0,1
agent_attributed,artprima/prometheus-metrics-bundle,3,25,4,0,8.333,1.333,0.0,javascript,0,3,0
agent_attributed,bentoml/BentoML,3,0,0,0,0.0,0.0,0.0,python,3,0,0
agent_attributed,box/box-ui-elements,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,browser-use/browser-use,2,0,0,0,0.0,0.0,0.0,python,2,0,0
agent_attributed,buster-so/buster,7,2,0,0,0.286,0.0,0.0,typescript,0,0,7
agent_attributed,calcom/cal.com,13,0,1,2,0.0,0.077,0.154,typescript,0,0,13
agent_attributed,cartography-cncf/cartography,3,0,0,0,0.0,0.0,0.0,python,3,0,0
agent_attributed,crewAIInc/crewAI,14,3,6,0,0.214,0.429,0.0,python,14,0,0
agent_attributed,crewAIInc/crewAI-tools,1,0,0,0,0.0,0.0,0.0,python,1,0,0
agent_attributed,dcSpark/shinkai-local-ai-agents,2,0,0,0,0.0,0.0,0.0,typescript,0,0,2
agent_attributed,digitaldemocracy2030/kouchou-ai,5,3,1,0,0.6,0.2,0.0,"python,typescript",3,0,2
agent_attributed,disler/single-file-agents,1,1,0,0,1.0,0.0,0.0,python,1,0,0
agent_attributed,elastic/kibana,1,0,0,0,0.0,0.0,0.0,typescript,0,0,1
agent_attributed,eyaltoledano/claude-task-master,2,0,1,0,0.0,0.5,0.0,javascript,0,2,0
agent_attributed,featureform/enrichmcp,1,0,0,0,0.0,0.0,0.0,python,1,0,0
