arm,sample_id,repo_name,language,file_size_band,file_line_count,findings_total,high,medium,low,checks_failed,failed_check_ids
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00176,microsoft/react-native-windows,javascript,1000_plus,1222,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00101,prebid/Prebid.js,javascript,100_299,121,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00102,navidrome/navidrome,javascript,100_299,131,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00103,prebid/Prebid.js,javascript,100_299,153,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00104,prebid/Prebid.js,javascript,100_299,133,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00105,microsoft/graphitation,javascript,100_299,233,4,0,4,0,1,confidence_representation
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00106,microsoft/graphitation,javascript,100_299,233,4,0,4,0,1,confidence_representation
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00107,mebjas/html5-qrcode,javascript,100_299,112,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00109,prebid/Prebid.js,javascript,100_299,167,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00110,rcourtman/Pulse,javascript,100_299,148,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00114,microsoft/vscode-mssql,javascript,100_299,131,2,1,1,0,2,"exception_handling,success_integrity"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00115,prebid/Prebid.js,javascript,100_299,167,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00116,prebid/Prebid.js,javascript,100_299,108,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00117,goodjoblife/GoodJobShare,javascript,100_299,118,2,0,2,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00118,prebid/Prebid.js,javascript,100_299,121,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00119,eyaltoledano/claude-task-master,javascript,100_299,118,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00120,prebid/Prebid.js,javascript,100_299,122,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00121,MontrealAI/AGI-Alpha-Agent-v0,javascript,100_299,114,2,1,1,0,2,"background_tasks,exception_handling"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00122,RyanSusana/elepy,javascript,100_299,118,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00124,prebid/Prebid.js,javascript,100_299,182,3,0,1,2,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00126,eyaltoledano/claude-task-master,javascript,100_299,192,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00128,Deepractice/PromptX,javascript,100_299,290,1,0,1,0,1,confidence_representation
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00129,Rello/analytics,javascript,100_299,100,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00130,prebid/Prebid.js,javascript,100_299,122,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00131,prebid/Prebid.js,javascript,100_299,171,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00133,OpenFIGI/api-examples,javascript,100_299,107,2,0,2,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00134,unbug/codelf,javascript,100_299,237,4,2,1,1,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00135,prebid/Prebid.js,javascript,100_299,131,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00136,Deepractice/PromptX,javascript,100_299,186,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00137,prebid/Prebid.js,javascript,100_299,113,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00138,prebid/Prebid.js,javascript,100_299,182,3,0,1,2,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00139,prebid/Prebid.js,javascript,100_299,100,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00140,prebid/Prebid.js,javascript,100_299,149,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00141,prebid/Prebid.js,javascript,100_299,121,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00142,EduMIPS64/edumips64,javascript,100_299,191,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00143,EduMIPS64/edumips64,javascript,100_299,191,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00144,prebid/Prebid.js,javascript,100_299,229,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00146,prebid/Prebid.js,javascript,100_299,229,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00147,prebid/Prebid.js,javascript,100_299,108,1,0,1,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00148,robinp7720/Oblecto,javascript,100_299,164,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00150,prebid/Prebid.js,javascript,100_299,122,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00151,Agoric/agoric-sdk,javascript,100_299,142,1,1,0,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00152,Rello/audioplayer,javascript,100_299,183,1,0,1,0,1,confidence_representation
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00153,CEPT-VZG/digipin,javascript,100_299,265,4,0,4,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00155,Alfresco/alfresco-ng2-components,javascript,100_299,244,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00157,Deepractice/PromptX,javascript,100_299,111,2,0,2,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00158,prebid/Prebid.js,javascript,100_299,182,3,0,1,2,2,"exception_handling,fallback_control"
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00159,Alfresco/alfresco-ng2-components,javascript,100_299,238,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00160,prebid/Prebid.js,javascript,100_299,133,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00162,prebid/Prebid.js,javascript,100_299,113,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00163,microsoft/ApplicationInsights-JS,javascript,100_299,162,2,2,0,0,1,exception_handling
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00164,microsoft/genaiscript,javascript,100_299,215,0,0,0,0,0,
agent_attributed,aira-aidev-full-pilot-arm-a_agent_attributed_00166,prebid/Prebid.js,javascript,100_299,110,0,0,0,0,0,
