arm,check_id,fail_count
agent_attributed_strict_subset,background_tasks,15
agent_attributed_strict_subset,confidence_representation,11
agent_attributed_strict_subset,environment_safety,6
agent_attributed_strict_subset,exception_handling,61
agent_attributed_strict_subset,fallback_control,14
agent_attributed_strict_subset,idempotency_safety,1
agent_attributed_strict_subset,return_contracts,7
agent_attributed_strict_subset,startup_integrity,1
agent_attributed_strict_subset,success_integrity,1
human_control,background_tasks,28
human_control,confidence_representation,7
human_control,determinism,1
human_control,environment_safety,8
human_control,exception_handling,43
human_control,fallback_control,12
human_control,return_contracts,9
human_control,startup_integrity,1
